District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
24 Paraganas North,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Prohibition Of Child Marriage']",
24 Paraganas South,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']",,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Information Technology Act']",
Ahmadabad,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Aizawl,No major threats,No major threats,No major threats,No major threats
Ajmer,"['Human Trafficking Children Only', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Information Technology Act', 'The Copy Right Act', 'Trade Marks Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Akola,"['Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']",,,
Alipurduar,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,
Alirajpur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,No major threats,"['Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Almora,"['Rape', 'Other Murder', 'Muder With Rape Pocso']",No major threats,"['Information Technology Act', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Alwar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape', 'Muder With Rape Pocso']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Ambala,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Ambedkar Nagar,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']",,
